,Movie,Year,Genre,Rating,metaScore,Votes,Length,Age Certificate
93,Beauty and the Beast,1991,"Animation, Family, Fantasy",8.0,95.0,411948,84,G
391,Ivan's Childhood,1962,"Drama, War",8.1,,30543,84,Not Rated
816,The Killing,1956,"Crime, Drama, Film-Noir",8.0,91.0,80059,84,Approved
264,Evil Dead II,1987,"Action, Comedy, Fantasy",7.8,72.0,145348,84,R
851,The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime",7.6,76.0,149500,85,PG-13
349,High Noon,1952,"Drama, Thriller, Western",7.9,89.0,95865,85,PG
955,Vivre Sa Vie,1962,Drama,8.0,,27100,85,Not Rated
495,Love and Death,1975,"Comedy, War",7.7,89.0,35405,85,PG
849,The Muppet Christmas Carol,1992,"Comedy, Drama, Family",7.7,64.0,46514,85,G
813,The Iron Giant,1999,"Animation, Action, Adventure",8.0,85.0,169076,86,PG
133,Brief Encounter,1945,"Drama, Romance",8.0,92.0,34735,86,Not Rated
967,What We Do in the Shadows,2014,"Comedy, Horror",7.7,76.0,152157,86,R
581,Once,2007,"Drama, Music, Romance",7.8,88.0,109384,86,R
737,The 39 Steps,1935,"Mystery, Thriller",7.6,93.0,50814,86,Not Rated
919,My Neighbor Totoro,1988,"Animation, Family, Fantasy",8.2,86.0,281164,86,G
677,Neon Genesis Evangelion: The End of Evangelion,1997,"Animation, Action, Drama",8.1,,36954,87,TV-14
510,Tangerines,2013,"Drama, War",8.2,73.0,37976,87,Not Rated
532,Modern Times,1936,"Comedy, Drama, Family",8.5,96.0,212745,87,G
270,Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",7.9,83.0,194115,87,PG
19,A Hard Day's Night,1964,"Comedy, Music, Musical",7.6,96.0,39577,87,G
428,Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",8.0,,27153,87,Not Rated
171,City Lights,1931,"Comedy, Drama, Romance",8.5,99.0,163906,87,G
844,The Man from Earth,2007,"Drama, Fantasy, Sci-Fi",7.9,,171382,87,Not Rated
629,Rashomon,1950,"Crime, Drama, Mystery",8.2,98.0,149242,88,Not Rated
460,Laura,1944,"Drama, Film-Noir, Mystery",8.0,,41914,88,Passed
995,Zombieland,2009,"Adventure, Comedy, Fantasy",7.6,73.0,512698,88,R
105,3-Iron,2004,"Crime, Drama, Romance",8.0,72.0,49131,88,R
828,The Lion King,1994,"Animation, Adventure, Drama",8.5,88.0,922064,88,G
35,Airplane!,1980,Comedy,7.7,78.0,209977,88,PG
56,And Now for Something Completely Different,1971,Comedy,7.6,,28479,88,PG
543,Mulan,1998,"Animation, Adventure, Family",7.6,71.0,250157,88,G
598,Paths of Glory,1957,"Drama, War",8.4,90.0,173964,88,Approved
574,Office Space,1999,Comedy,7.7,68.0,238408,89,R
80,Children of Heaven,1997,"Drama, Family, Sport",8.3,77.0,63072,89,PG
709,Stand by Me,1986,"Adventure, Drama",8.1,75.0,357441,89,R
403,The Virgin Spring,1960,Drama,8.1,,26156,89,Not Rated
883,The Station Agent,2003,"Comedy, Drama",7.6,81.0,66735,89,R
354,Grave of the Fireflies,1988,"Animation, Drama, War",8.5,94.0,227628,89,Not Rated
456,Bicycle Thieves,1948,Drama,8.3,,142661,89,Not Rated
281,Flipped,2010,"Comedy, Drama, Romance",7.7,45.0,80175,90,PG
477,Eyes Without a Face,1960,"Drama, Horror",7.7,90.0,26546,90,Not Rated
201,Dead Man's Shoes,2004,"Crime, Drama, Thriller",7.6,52.0,48707,90,Not Rated
350,Hiroshima Mon Amour,1959,"Drama, Romance",7.9,,27629,90,Not Rated
999,Breathless,1960,"Crime, Drama",7.9,,71542,90,Not Rated
38,Aladdin,1992,"Animation, Adventure, Comedy",8.0,86.0,366380,90,G
596,Paprika,2006,"Animation, Drama, Fantasy",7.7,81.0,69127,90,R
728,Taken,2008,"Action, Thriller",7.8,51.0,559339,90,PG-13
682,Shrek,2001,"Animation, Adventure, Comedy",7.8,84.0,602798,90,PG
328,Halloween,1978,"Horror, Thriller",7.8,87.0,224063,91,R
821,The Ladykillers,1955,"Comedy, Crime",7.7,91.0,25736,91,Not Rated
890,The Thin Man,1934,"Comedy, Crime, Mystery",8.0,,25905,91,TV-PG
965,Watership Down,1978,"Animation, Adventure, Drama",7.6,64.0,33164,91,PG
334,Harold and Maude,1971,"Comedy, Drama, Romance",7.9,62.0,69764,91,PG
694,Wild Strawberries,1957,"Drama, Romance",8.2,88.0,93664,91,Not Rated
537,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",8.2,91.0,493635,91,PG
954,Cries & Whispers,1972,Drama,8.1,,29352,91,R
317,Gravity,2013,"Drama, Sci-Fi, Thriller",7.7,96.0,758256,91,PG-13
769,The Day the Earth Stood Still,1951,"Drama, Sci-Fi",7.7,,75562,92,G
928,Three Colors: White,1994,"Comedy, Drama, Romance",7.6,88.0,62383,92,R
852,The Night of the Hunter,1955,"Crime, Drama, Film-Noir",8.0,99.0,80533,92,Not Rated
937,Tokyo Godfathers,2003,"Animation, Adventure, Comedy",7.8,73.0,30125,92,PG-13
351,His Girl Friday,1940,"Comedy, Drama, Romance",7.9,,52532,92,Passed
536,"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.0,79.0,798787,92,G
736,Thank You for Smoking,2005,"Comedy, Drama",7.6,71.0,211430,92,R
922,Toy Story 2,1999,"Animation, Adventure, Comedy",7.9,88.0,517051,92,G
172,Clerks,1994,Comedy,7.7,70.0,209698,92,R
900,The Warriors,1979,"Action, Crime, Thriller",7.6,65.0,92228,92,R
515,Mary and Max,2009,"Animation, Comedy, Drama",8.1,,161821,92,Not Rated
113,Blazing Saddles,1974,"Comedy, Western",7.7,73.0,124033,93,R
893,The Third Man,1949,"Film-Noir, Mystery, Thriller",8.1,97.0,156113,93,Approved
927,Trainspotting,1996,Drama,8.1,83.0,625623,93,R
279,First Blood,1982,"Action, Adventure",7.7,61.0,222433,93,R
325,Hachi: A Dog's Tale,2009,"Drama, Family",8.1,,247292,93,G
396,Love Me If You Dare,2003,"Comedy, Drama, Romance",7.6,45.0,66612,93,R
611,"Planes, Trains and Automobiles",1987,"Comedy, Drama",7.6,72.0,119846,93,R
699,Song of the Sea,2014,"Animation, Adventure, Drama",8.1,85.0,49559,93,PG
61,Annie Hall,1977,"Comedy, Romance",8.0,92.0,248999,93,PG
653,Rushmore,1998,"Comedy, Drama, Romance",7.7,86.0,166503,93,R
370,In a Lonely Place,1950,"Drama, Film-Noir, Mystery",8.0,,25591,94,Not Rated
539,Moonrise Kingdom,2012,"Comedy, Drama, Romance",7.8,84.0,312953,94,PG-13
566,Nosferatu,1922,"Fantasy, Horror",7.9,,87087,94,Not Rated
522,Midnight in Paris,2011,"Comedy, Fantasy, Romance",7.7,81.0,381806,94,PG-13
84,Badlands,1973,"Action, Crime, Drama",7.8,93.0,64387,94,PG
496,Loving Vincent,2017,"Animation, Biography, Crime",7.8,62.0,48923,94,PG-13
16,A Christmas Story,1983,"Comedy, Family",7.9,77.0,127886,94,PG
481,Monty Python's Life of Brian,1979,Comedy,8.1,77.0,361015,94,R
720,Sunrise,1927,"Drama, Romance",8.1,,46263,94,Passed
754,The Boy in the Striped Pajamas,2008,"Drama, War",7.8,55.0,186795,94,PG-13
435,Porco Rosso,1992,"Animation, Adventure, Comedy",7.7,83.0,74918,94,PG
413,The Secret World of Arrietty,2010,"Animation, Adventure, Family",7.6,80.0,78308,94,G
405,Ninja Scroll,1993,"Animation, Action, Adventure",7.9,,34000,94,Not Rated
198,Days of Heaven,1978,"Drama, Romance",7.8,93.0,51472,94,PG
29,Adam's Apples,2005,"Comedy, Crime, Drama",7.8,51.0,44645,94,R
929,Three Colors: Blue,1993,"Drama, Music, Mystery",7.9,85.0,87082,94,R
969,When Harry Met Sally...,1989,"Comedy, Drama, Romance",7.6,76.0,191594,95,R
381,Inside Out,2015,"Animation, Adventure, Comedy",8.1,94.0,596493,95,PG
236,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,8.4,97.0,443119,95,PG
254,The Exterminating Angel,1962,"Drama, Fantasy",8.1,,28974,95,Not Rated
920,Touch of Evil,1958,"Crime, Drama, Film-Noir",8.0,99.0,97186,95,PG-13
344,Hedwig and the Angry Inch,2001,"Comedy, Drama, Music",7.7,85.0,31584,95,R
850,The Muppet Movie,1979,"Adventure, Comedy, Family",7.6,74.0,32091,95,G
790,The Gold Rush,1925,"Adventure, Comedy, Drama",8.2,,98333,95,Passed
211,Despicable Me,2010,"Animation, Comedy, Family",7.6,72.0,493002,95,PG
609,Pink Floyd: The Wall,1982,"Drama, Fantasy, Music",8.1,47.0,75055,95,R
0,500 Days of Summer,2009,"Comedy, Drama, Romance",7.7,76.0,465974,95,PG-13
32,"Aguirre, the Wrath of God",1972,"Action, Adventure, Biography",7.9,,51262,95,Not Rated
946,Up,2009,"Animation, Adventure, Comedy",8.2,88.0,916006,96,PG
560,Night of the Living Dead,1968,"Horror, Thriller",7.9,89.0,113920,96,Not Rated
935,Sanjuro,1962,"Action, Comedy, Crime",8.1,,31846,96,Not Rated
820,The Lady Vanishes,1938,"Mystery, Thriller",7.8,,46434,96,Not Rated
724,Sweet Smell of Success,1957,"Drama, Film-Noir",8.1,100.0,27415,96,Approved
603,Perfect Strangers,2016,"Comedy, Drama",7.8,,54935,96,
604,Persepolis,2007,"Animation, Biography, Drama",8.0,90.0,87355,96,PG-13
1,12 Angry Men,1957,"Crime, Drama",8.9,96.0,672906,96,Approved
706,Stagecoach,1939,"Adventure, Drama, Western",7.8,93.0,42564,96,Passed
511,Manhattan,1979,"Comedy, Drama, Romance",7.9,83.0,129692,96,R
527,Miracle on 34th Street,1947,"Comedy, Drama, Family",7.9,88.0,39181,96,Not Rated
681,Short Term 12,2013,Drama,8.0,82.0,80156,96,R
501,Mad Max 2: The Road Warrior,1981,"Action, Adventure, Sci-Fi",7.6,77.0,164134,96,R
212,The Seventh Seal,1957,"Drama, Fantasy",8.2,88.0,160533,96,Not Rated
426,Klaus,2019,"Animation, Adventure, Comedy",8.2,65.0,76539,96,PG
22,A Night at the Opera,1935,"Comedy, Music, Musical",7.9,,30121,96,Passed
858,The Peanut Butter Falcon,2019,"Comedy, Drama",7.6,70.0,56261,97,PG-13
755,The Breakfast Club,1985,"Comedy, Drama",7.8,66.0,351151,97,R
555,National Lampoon's Christmas Vacation,1989,Comedy,7.6,49.0,148667,97,PG-13
483,Lifeboat,1944,"Drama, War",7.6,78.0,25988,97,Not Rated
546,Mustang,2015,Drama,7.6,83.0,34865,97,PG-13
590,Out of the Past,1947,"Crime, Drama, Film-Noir",8.0,,32033,97,Not Rated
20,A Little Princess,1995,"Drama, Family, Fantasy",7.7,83.0,31647,97,G
538,Moon,2009,"Drama, Mystery, Sci-Fi",7.9,67.0,330847,97,R
31,After Hours,1985,"Comedy, Crime, Drama",7.7,90.0,57345,97,R
473,The Chorus,2004,"Drama, Music",7.9,56.0,56437,97,PG-13
271,Fargo,1996,"Crime, Drama, Thriller",8.1,85.0,603917,98,R
443,The Double Life of Véronique,1991,"Drama, Fantasy, Music",7.8,86.0,40961,98,R
356,How to Train Your Dragon,2010,"Animation, Action, Adventure",8.1,75.0,654460,98,PG
564,No Man's Land,2001,"Comedy, Drama, War",7.9,84.0,44093,98,R
863,The Princess Bride,1987,"Adventure, Family, Fantasy",8.1,77.0,387415,98,PG
213,Detachment,2011,Drama,7.7,52.0,75358,98,Not Rated
446,La Haine,1995,"Crime, Drama",8.1,,145750,98,Not Rated
959,WALL·E,2008,"Animation, Adventure, Family",8.4,95.0,979398,98,G
607,Philomena,2013,"Biography, Comedy, Drama",7.6,77.0,93051,98,PG-13
266,In the Mood for Love,2000,"Drama, Romance",8.1,85.0,120208,98,PG
917,The Girl Who Leapt Through Time,2006,"Animation, Adventure, Comedy",7.7,,58982,98,TV-PG
640,Reservoir Dogs,1992,"Crime, Drama, Thriller",8.3,79.0,900985,99,R
434,Kung Fu Hustle,2004,"Action, Comedy, Fantasy",7.7,78.0,125310,99,R
930,Three Colors: Red,1994,"Drama, Mystery, Romance",8.1,100.0,88451,99,R
115,Blood Simple,1984,"Crime, Drama, Thriller",7.6,82.0,85937,99,R
206,Delicatessen,1991,"Comedy, Crime",7.6,66.0,79406,99,R
912,To Be or Not to Be,1942,"Comedy, War",8.2,86.0,28103,99,Passed
602,A Fistful of Dollars,1964,"Action, Drama, Western",8.0,65.0,193805,99,R
227,Fallen Angels,1995,"Comedy, Crime, Drama",7.7,71.0,25009,99,R
673,Shaun of the Dead,2004,"Comedy, Horror",7.9,76.0,504231,99,R
793,The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",8.1,88.0,691192,99,R
878,The Shop Around the Corner,1940,"Comedy, Drama, Romance",8.1,96.0,26957,99,Not Rated
961,Waking Life,2001,"Animation, Drama, Fantasy",7.8,83.0,60068,99,R
475,The 400 Blows,1959,"Crime, Drama",8.1,,102636,99,Not Rated
500,M,1931,"Crime, Mystery, Thriller",8.3,,140334,99,Passed
776,The Farewell,2019,"Comedy, Drama",7.6,89.0,46029,100,PG
423,King Kong,1933,"Adventure, Horror, Sci-Fi",7.9,90.0,77755,100,Passed
924,Toy Story 4,2019,"Animation, Adventure, Comedy",7.8,84.0,191942,100,G
943,Land of Mine,2015,"Drama, History, War",7.8,75.0,34232,100,R
99,Belle de Jour,1967,Drama,7.7,,39384,100,R
306,Glengarry Glen Ross,1992,"Crime, Drama, Mystery",7.7,82.0,94260,100,R
239,Drive,2011,"Crime, Drama",7.8,78.0,561016,100,R
841,The Maltese Falcon,1941,"Film-Noir, Mystery",8.0,96.0,147189,100,Not Rated
975,Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",7.8,67.0,174957,100,G
246,Eastern Promises,2007,"Action, Crime, Drama",7.6,82.0,224620,100,R
417,Key Largo,1948,"Action, Crime, Drama",7.8,,36443,100,Not Rated
12,50/50,2011,"Comedy, Drama, Romance",7.6,72.0,312656,100,R
178,Coraline,2009,"Animation, Drama, Family",7.7,80.0,192037,100,PG
798,The Hangover,2009,Comedy,7.7,73.0,708113,100,R
913,To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",7.8,,30434,100,Passed
362,"I, Daniel Blake",2016,Drama,7.9,78.0,52012,100,R
730,Tangled,2010,"Animation, Adventure, Comedy",7.7,71.0,397912,100,PG
190,Dark City,1998,"Mystery, Sci-Fi, Thriller",7.6,66.0,185791,100,R
277,Finding Nemo,2003,"Animation, Adventure, Comedy",8.1,90.0,932033,100,G
827,The Lego Movie,2014,"Animation, Action, Adventure",7.7,83.0,320267,100,PG
741,The Artist,2011,"Comedy, Drama, Romance",7.9,89.0,227974,100,PG-13
809,The Innocents,1961,Horror,7.8,88.0,26092,100,Not Rated
667,The Raid: Redemption,2011,"Action, Thriller",7.6,73.0,187908,101,R
471,Le Samouraï,1967,"Crime, Drama, Mystery",8.1,,44264,101,GP
600,Peeping Tom,1960,"Drama, Horror, Thriller",7.7,,30276,101,Not Rated
301,Gifted,2017,Drama,7.6,60.0,96568,101,PG-13
319,Groundhog Day,1993,"Comedy, Fantasy, Romance",8.0,72.0,570928,101,PG
293,Ponyo,2008,"Animation, Adventure, Comedy",7.7,86.0,121258,101,G
95,Before Sunrise,1995,"Drama, Romance",8.1,77.0,264831,101,R
432,Kubo and the Two Strings,2016,"Animation, Action, Adventure",7.8,84.0,115645,101,PG
540,Infernal Affairs,2002,"Action, Crime, Drama",8.0,75.0,116713,101,R
981,Wreck-It Ralph,2012,"Animation, Adventure, Comedy",7.7,72.0,373138,101,PG
486,Little Miss Sunshine,2006,"Comedy, Drama",7.8,80.0,433477,101,R
51,American Psycho,2000,"Comedy, Crime, Drama",7.6,64.0,477013,101,R
719,Strangers on a Train,1951,"Crime, Film-Noir, Thriller",7.9,88.0,121570,101,PG
915,All About My Mother,1999,Drama,7.8,87.0,87579,101,R
388,Isle of Dogs,2018,"Animation, Adventure, Comedy",7.9,82.0,134023,101,PG-13
836,The Lost Weekend,1945,"Drama, Film-Noir",7.9,,32944,101,Not Rated
838,The Machinist,2004,"Drama, Thriller",7.7,61.0,352538,101,R
358,Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",7.9,81.0,105754,101,PG-13
872,The Sandlot,1993,"Comedy, Drama, Family",7.8,55.0,77640,101,PG
220,Dil Bechara,2020,"Comedy, Drama, Romance",7.9,,103835,101,
907,This Is England,2006,"Crime, Drama",7.7,86.0,114494,101,Not Rated
152,Casablanca,1942,"Drama, Romance, War",8.5,100.0,512610,102,PG
260,Enter the Dragon,1973,"Action, Crime, Drama",7.7,83.0,94841,102,R
584,Once Were Warriors,1994,"Crime, Drama",7.9,77.0,31066,102,R
103,Big Hero 6,2014,"Animation, Action, Adventure",7.8,74.0,402800,102,PG
357,How to Train Your Dragon 2,2014,"Animation, Action, Adventure",7.8,76.0,299823,102,PG
594,Paper Moon,1973,"Comedy, Crime, Drama",8.1,77.0,41470,102,PG
902,The Wizard of Oz,1939,"Adventure, Family, Fantasy",8.0,100.0,367192,102,PG
567,Notorious,1946,"Drama, Film-Noir, Romance",7.9,100.0,90823,102,Not Rated
738,The Adventures of Robin Hood,1938,"Action, Adventure, Romance",7.9,97.0,46537,102,PG
199,Dazed and Confused,1993,Comedy,7.6,78.0,162305,102,R
463,The Discreet Charm of the Bourgeoisie,1972,Comedy,7.9,93.0,37673,102,PG
345,Hell or High Water,2016,"Action, Crime, Drama",7.6,88.0,199449,102,R
224,Dirty Harry,1971,"Action, Crime, Thriller",7.7,90.0,141170,102,R
662,Searching,2018,"Drama, Mystery, Thriller",7.6,71.0,134854,102,PG-13
134,Bringing Up Baby,1938,"Comedy, Family, Romance",7.9,91.0,54146,102,Passed
764,The Crow,1994,"Action, Drama, Fantasy",7.6,71.0,164197,102,R
167,Chungking Express,1994,"Comedy, Crime, Drama",8.1,77.0,60627,102,PG-13
639,Requiem for a Dream,2000,Drama,8.3,68.0,752147,102,R
493,Lost in Translation,2003,"Comedy, Drama",7.7,89.0,405814,102,R
467,Contempt,1963,"Drama, Romance",7.6,,28202,102,Not Rated
651,Lupin the 3rd: Castle of Cagliostro,1979,"Animation, Adventure, Family",7.7,71.0,26125,102,PG-13
695,Snatch,2000,"Comedy, Crime",8.3,55.0,769651,102,R
895,The Truman Show,1998,"Comedy, Drama, Sci-Fi",8.1,90.0,916370,103,PG
549,My Left Foot,1989,"Biography, Drama",7.9,97.0,66584,103,R
273,Ferris Bueller's Day Off,1986,Comedy,7.8,61.0,315394,103,PG-13
331,Fireworks,1997,"Crime, Drama, Romance",7.8,,27118,103,18
859,The Perks of Being a Wallflower,2012,"Drama, Romance",8.0,67.0,453764,103,PG-13
505,Kiki's Delivery Service,1989,"Animation, Adventure, Drama",7.8,83.0,119261,103,G
121,"Spring, Summer, Fall, Winter... and Spring",2003,"Drama, Romance",8.0,85.0,75935,103,R
578,When Marnie Was There,2014,"Animation, Drama, Family",7.7,72.0,31063,103,PG
352,Home Alone,1990,"Comedy, Family",7.6,63.0,453649,103,PG
657,Saw,2004,"Horror, Mystery",7.6,46.0,373430,103,R
949,Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy",7.7,62.0,28748,103,R
593,Paddington 2,2017,"Adventure, Comedy, Family",7.8,88.0,58583,103,PG
688,Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,99.0,214422,103,G
923,Toy Story 3,2010,"Animation, Adventure, Comedy",8.3,92.0,743090,103,G
25,A Wednesday,2008,"Action, Crime, Drama",8.1,,72873,104,Not Rated
341,Harvey,1950,"Comedy, Drama, Fantasy",7.9,,52073,104,Approved
886,The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller",7.7,68.0,25944,104,R
837,The Lunchbox,2013,"Drama, Family, Romance",7.8,76.0,49275,104,PG
973,Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",7.7,83.0,179245,104,PG
298,Get Out,2017,"Horror, Mystery, Thriller",7.7,85.0,476312,104,R
856,The Others,2001,"Horror, Mystery, Thriller",7.6,74.0,331688,104,PG-13
70,Au Revoir les Enfants,1987,"Drama, War",8.0,88.0,30620,104,PG
899,The Visitor,2007,Drama,7.6,79.0,41262,104,PG-13
182,Crimes and Misdemeanors,1989,"Comedy, Drama",7.9,77.0,53775,104,PG-13
781,The French Connection,1971,"Action, Crime, Drama",7.7,94.0,107938,104,R
359,Fearless,2006,"Action, Biography, Drama",7.6,70.0,72224,104,PG-13
855,The Odd Couple,1968,Comedy,7.7,86.0,31003,105,G
299,Ghostbusters,1984,"Action, Comedy, Fantasy",7.8,71.0,348663,105,PG
368,In America,2002,Drama,7.7,76.0,40144,105,PG-13
517,Me and Earl and the Dying Girl,2015,"Comedy, Drama",7.7,74.0,121124,105,PG-13
215,Dial M for Murder,1954,"Crime, Thriller",8.2,75.0,154483,105,PG
389,It Happened One Night,1934,"Comedy, Romance",8.1,87.0,91926,105,Approved
638,Repulsion,1965,"Drama, Horror, Thriller",7.7,91.0,47944,105,Not Rated
678,Shine,1996,"Biography, Drama, Music",7.7,87.0,50696,105,PG-13
551,Mysterious Skin,2004,Drama,7.6,73.0,65231,105,Unrated
402,Jules and Jim,1962,"Drama, Romance",7.8,97.0,36763,105,Not Rated
249,Edward Scissorhands,1990,"Drama, Fantasy, Romance",7.9,74.0,439000,105,PG-13
431,Kramer vs. Kramer,1979,Drama,7.8,77.0,130551,105,PG
174,Coco,2017,"Animation, Adventure, Family",8.4,81.0,357294,105,PG
739,The African Queen,1951,"Adventure, Drama, Romance",7.7,91.0,70464,105,PG
274,The Celebration,1998,Drama,8.0,82.0,76641,105,R
971,Whiplash,2014,"Drama, Music",8.5,88.0,695638,106,R
988,Ip Man,2008,"Action, Biography, Drama",8.0,59.0,208781,106,R
145,Cape Fear,1962,"Drama, Thriller",7.7,76.0,25868,106,Passed
989,Young Frankenstein,1974,Comedy,8.0,80.0,141065,106,PG
687,Sing Street,2016,"Comedy, Drama, Music",7.9,79.0,83290,106,PG-13
422,Kind Hearts and Coronets,1949,"Comedy, Crime",8.0,,33913,106,Not Rated
242,Dunkirk,2017,"Action, Drama, History",7.9,94.0,537092,106,PG-13
175,The Invisible Guest,2016,"Crime, Drama, Mystery",8.1,,129869,106,Not Rated
278,Finding Neverland,2004,"Biography, Drama, Family",7.7,67.0,196704,106,PG
296,Gattaca,1997,"Drama, Sci-Fi, Thriller",7.8,64.0,276721,106,PG-13
421,Your Name.,2016,"Animation, Drama, Fantasy",8.4,79.0,181919,106,PG
984,Y Tu Mamá También,2001,Drama,7.6,88.0,114105,106,R
430,Confessions,2010,"Drama, Thriller",7.8,,35029,106,Not Rated
792,The Graduate,1967,"Comedy, Drama, Romance",8.0,83.0,250666,106,PG
897,The Usual Suspects,1995,"Crime, Mystery, Thriller",8.5,77.0,973468,106,R
332,Hannah and Her Sisters,1986,"Comedy, Drama",7.9,90.0,66083,107,PG-13
880,The Sixth Sense,1999,"Drama, Mystery, Thriller",8.1,64.0,897942,107,PG-13
488,"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",8.2,66.0,526762,107,R
888,The Terminator,1984,"Action, Sci-Fi",8.0,84.0,787978,107,R
992,The Mirror,1975,"Biography, Drama",8.1,,38501,107,G
704,The Vanishing,1988,"Mystery, Thriller",7.7,,33183,107,Not Rated
219,The Wave,2008,"Drama, Thriller",7.6,,101128,107,Not Rated
234,Double Indemnity,1944,"Crime, Drama, Film-Noir",8.3,95.0,140566,107,Passed
615,Predator,1987,"Action, Adventure, Sci-Fi",7.8,45.0,365946,107,R
369,In Bruges,2008,"Comedy, Crime, Drama",7.9,67.0,385073,107,R
570,"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",7.7,69.0,280637,107,PG-13
977,Withnail & I,1987,"Comedy, Drama",7.7,84.0,39593,107,R
235,Down by Law,1986,"Comedy, Crime, Drama",7.8,75.0,47071,107,R
976,Wind River,2017,"Crime, Drama, Mystery",7.7,73.0,196800,107,R
528,Misery,1990,"Drama, Thriller",7.8,75.0,180244,107,R
531,Moana,2016,"Animation, Adventure, Comedy",7.6,81.0,263279,107,PG
750,The Boondock Saints,1999,"Action, Crime, Thriller",7.8,44.0,225223,108,R
672,Shadow of a Doubt,1943,Thriller,7.8,94.0,58320,108,PG
462,The Little Prince,2015,"Animation, Adventure, Drama",7.7,70.0,55423,108,PG
203,Deadpool,2016,"Action, Adventure, Comedy",8.0,65.0,885983,108,R
752,The Bourne Supremacy,2004,"Action, Mystery, Thriller",7.7,73.0,428543,108,PG-13
110,Black Swan,2010,"Drama, Thriller",8.0,79.0,688537,108,R
398,Jojo Rabbit,2019,"Comedy, Drama, War",7.9,58.0,264161,108,PG-13
