,Movie,Year,Genre,Rating,metaScore,Votes,Length,Age Certificate
445,La Grande Illusion,1937,"Drama, War",8.1,,33310,113,Not Rated
974,Who's Afraid of Virginia Woolf?,1966,Drama,8.0,75.0,68071,131,Not Rated
85,Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",8.0,,70386,163,Not Rated
86,Barfi!,2012,"Comedy, Drama, Romance",8.1,,74386,151,Not Rated
444,The Great Beauty,2013,Drama,7.8,86.0,79263,141,Not Rated
442,La Dolce Vita,1960,"Comedy, Drama",8.0,95.0,65084,174,Not Rated
441,The Battle of Algiers,1966,"Drama, War",8.1,96.0,51593,121,Not Rated
91,Battle Royale,2000,"Action, Adventure, Drama",7.6,81.0,166964,114,Not Rated
92,Beasts of No Nation,2015,"Drama, War",7.7,79.0,72103,137,Not Rated
554,Naked,1993,"Comedy, Drama",7.8,84.0,33536,132,Not Rated
907,This Is England,2006,"Crime, Drama",7.7,86.0,114494,101,Not Rated
437,L'Avventura,1960,"Drama, Mystery",7.9,,25846,144,Not Rated
25,A Wednesday,2008,"Action, Crime, Drama",8.1,,72873,104,Not Rated
71,The Edge of Heaven,2007,Drama,7.8,85.0,30431,122,Not Rated
101,Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",8.2,,59885,186,Not Rated
452,The Rules of the Game,1939,"Comedy, Drama",8.0,,26240,110,Not Rated
932,Elite Squad 2: The Enemy Within,2010,"Action, Crime, Drama",8.0,71.0,78395,115,Not Rated
950,Veer-Zaara,2004,"Drama, Family, Musical",7.8,67.0,48075,192,Not Rated
953,Victoria,2015,"Crime, Drama, Romance",7.6,77.0,51285,138,Not Rated
955,Vivre Sa Vie,1962,Drama,8.0,,27100,85,Not Rated
947,Uri: The Surgical Strike,2019,"Action, Drama, War",8.3,,41730,138,Not Rated
54,Anand,1971,"Drama, Musical",8.5,,28742,122,Not Rated
958,The Return,2003,Drama,8.0,82.0,41573,110,Not Rated
55,Anatomy of a Murder,1959,"Crime, Drama, Mystery",8.0,95.0,58719,161,Not Rated
58,Andhadhun,2018,"Crime, Thriller",8.3,,66999,139,Not Rated
960,Wait Until Dark,1967,Thriller,7.8,81.0,27266,108,Not Rated
944,Underground,1995,"Comedy, Drama, War",8.1,,54405,167,Not Rated
60,I Saw the Devil,2010,"Action, Crime, Drama",7.8,67.0,107009,144,Not Rated
527,Miracle on 34th Street,1947,"Comedy, Drama, Family",7.9,88.0,39181,96,Not Rated
467,Contempt,1963,"Drama, Romance",7.6,,28202,102,Not Rated
939,Udaan,2010,Drama,8.2,,41745,134,Not Rated
938,Tokyo Story,1953,Drama,8.2,,51106,136,Not Rated
456,Bicycle Thieves,1948,Drama,8.3,,142660,89,Not Rated
935,Sanjuro,1962,"Action, Comedy, Crime",8.1,,31846,96,Not Rated
468,Nights of Cabiria,1957,Drama,8.1,,42086,110,Not Rated
470,The Wages of Fear,1953,"Adventure, Drama, Thriller",8.1,85.0,53323,131,Not Rated
67,Arsenic and Old Lace,1944,"Comedy, Crime, Thriller",8.0,,64335,118,Not Rated
453,La Strada,1954,Drama,8.0,,57265,108,Not Rated
34,Airlift,2016,"Drama, History",8.0,,52117,130,Not Rated
106,Once Upon a Time in Anatolia,2011,"Crime, Drama",7.9,82.0,40234,157,Not Rated
433,Throne of Blood,1957,"Drama, History",8.1,,45408,110,Not Rated
131,Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi",7.8,95.0,42462,75,Not Rated
474,Diabolique,1955,"Crime, Drama, Horror",8.0,,60542,117,Not Rated
11,"4 Months, 3 Weeks and 2 Days",2007,Drama,7.9,97.0,55712,113,Not Rated
417,Key Largo,1948,"Action, Crime, Drama",7.8,,36443,100,Not Rated
133,Brief Encounter,1945,"Drama, Romance",8.0,92.0,34735,86,Not Rated
483,Lifeboat,1944,"Drama, War",7.6,78.0,25988,97,Not Rated
136,Battleship Potemkin,1925,"Drama, History, Thriller",8.0,,52058,66,Not Rated
139,Baahubali 2: The Conclusion,2017,"Action, Drama",8.2,,73029,167,Not Rated
140,Baahubali: The Beginning,2015,"Action, Drama",8.1,,100659,159,Not Rated
412,Kal ho naa ho,2003,"Comedy, Drama, Romance",8.0,54.0,62276,186,Not Rated
142,C.R.A.Z.Y.,2005,"Comedy, Drama",7.9,81.0,31206,127,Not Rated
571,OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",8.1,,50192,125,Not Rated
411,The Hidden Fortress,1958,"Adventure, Drama",8.1,,33630,126,Not Rated
410,Kai Po Che,2013,"Drama, Sport",7.7,40.0,31056,120,Not Rated
852,The Night of the Hunter,1955,"Crime, Drama, Film-Noir",8.0,99.0,80533,92,Not Rated
409,Kahaani,2012,"Mystery, Thriller",8.1,,56733,122,Not Rated
990,Yojimbo,1961,"Action, Drama, Thriller",8.2,,108529,110,Not Rated
993,Zindagi Na Milegi Dobara,2011,"Comedy, Drama",8.1,,66133,155,Not Rated
406,K.G.F: Chapter 1,2018,"Action, Drama",8.2,,32390,156,Not Rated
694,Wild Strawberries,1957,"Drama, Romance",8.2,88.0,93666,91,Not Rated
844,The Man from Earth,2007,"Drama, Fantasy, Sci-Fi",7.9,,171382,87,Not Rated
997,Zulu,1964,"Drama, History, War",7.7,77.0,35310,138,Not Rated
842,The Man Who Shot Liberty Valance,1962,"Drama, Western",8.1,94.0,67540,123,Not Rated
510,Tangerines,2013,"Drama, War",8.2,73.0,37976,87,Not Rated
860,The Philadelphia Story,1940,"Comedy, Romance",7.9,96.0,62366,112,Not Rated
952,Vicky Donor,2012,"Comedy, Romance",7.8,,39033,126,Not Rated
477,Eyes Without a Face,1960,"Drama, Horror",7.7,90.0,26546,90,Not Rated
475,The 400 Blows,1959,"Crime, Drama",8.1,,102636,99,Not Rated
428,Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",8.0,,27153,87,Not Rated
108,Black,2005,Drama,8.2,,32984,122,Not Rated
560,Night of the Living Dead,1968,"Horror, Thriller",7.9,89.0,113920,96,Not Rated
567,Notorious,1946,"Drama, Film-Noir, Romance",7.9,100.0,90823,102,Not Rated
878,The Shop Around the Corner,1940,"Comedy, Drama, Romance",8.1,96.0,26957,99,Not Rated
117,Blow-Up,1966,"Drama, Mystery, Thriller",7.6,82.0,55352,111,Not Rated
519,Metropolis,1927,"Drama, Sci-Fi",8.3,98.0,157115,153,Not Rated
429,A Silent Voice: The Movie,2016,"Animation, Drama, Family",8.1,78.0,42185,130,Not Rated
430,Confessions,2010,"Drama, Thriller",7.8,,35029,106,Not Rated
874,The Secret of Kells,2009,"Animation, Adventure, Family",7.6,81.0,30576,75,Not Rated
425,Winter Sleep,2014,Drama,8.1,88.0,44239,196,Not Rated
867,The Red Shoes,1948,"Drama, Music, Romance",8.1,,30143,135,Not Rated
566,Nosferatu,1922,"Fantasy, Horror",7.9,,87087,94,Not Rated
422,Kind Hearts and Coronets,1949,"Comedy, Crime",8.0,,33913,106,Not Rated
13,8½,1963,Drama,8.0,,106931,138,Not Rated
986,My Sassy Girl,2001,"Comedy, Drama, Romance",8.0,,44841,137,Not Rated
515,Mary and Max,2009,"Animation, Comedy, Drama",8.1,,161822,92,Not Rated
319,Groundhog Day,1993,"Comedy, Fantasy, Romance",8.0,72.0,570928,101,PG
334,Harold and Maude,1971,"Comedy, Drama, Romance",7.9,62.0,69764,91,PG
664,Spirited Away,2001,"Animation, Adventure, Family",8.6,96.0,631718,125,PG
682,Shrek,2001,"Animation, Adventure, Comedy",7.8,84.0,602798,90,PG
463,The Discreet Charm of the Bourgeoisie,1972,Comedy,7.9,93.0,37673,102,PG
665,Sense and Sensibility,1995,"Drama, Romance",7.6,84.0,100145,136,PG
308,Goldfinger,1964,"Action, Adventure, Thriller",7.7,87.0,169428,110,PG
482,Life of Pi,2012,"Adventure, Drama, Fantasy",7.9,79.0,572262,127,PG
487,Little Women,2019,"Drama, Romance",7.8,91.0,126370,135,PG
672,Shadow of a Doubt,1943,Thriller,7.8,94.0,58320,108,PG
357,How to Train Your Dragon 2,2014,"Animation, Action, Adventure",7.8,76.0,299823,102,PG
462,The Little Prince,2015,"Animation, Adventure, Drama",7.7,70.0,55423,108,PG
377,Indiana Jones and the Temple of Doom,1984,"Action, Adventure",7.6,57.0,440200,118,PG
381,Inside Out,2015,"Animation, Adventure, Comedy",8.1,94.0,596493,95,PG
594,Paper Moon,1973,"Comedy, Crime, Drama",8.1,77.0,41470,102,PG
593,Paddington 2,2017,"Adventure, Comedy, Family",7.8,88.0,58583,103,PG
426,Klaus,2019,"Animation, Adventure, Comedy",8.2,65.0,76543,96,PG
588,Wolf Children,2012,"Animation, Drama, Family",8.1,71.0,37529,117,PG
421,Your Name.,2016,"Animation, Drama, Fantasy",8.4,79.0,181922,106,PG
375,Incredibles 2,2018,"Animation, Action, Adventure",7.6,80.0,241444,118,PG
390,It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,89.0,390165,130,PG
395,Jaws,1975,"Adventure, Thriller",8.0,87.0,537361,124,PG
579,On Golden Pond,1981,Drama,7.6,68.0,27131,109,PG
578,When Marnie Was There,2014,"Animation, Drama, Family",7.7,72.0,31063,103,PG
408,The Tale of The Princess Kaguya,2013,"Animation, Adventure, Drama",8.0,89.0,36873,137,PG
577,Only Yesterday,1991,"Animation, Drama, Romance",7.6,90.0,25803,118,PG
407,Kagemusha,1980,"Drama, History, War",8.0,84.0,31490,162,PG
573,October Sky,1999,"Biography, Drama, Family",7.8,71.0,81039,108,PG
414,Nausicaä of the Valley of the Wind,1984,"Animation, Adventure, Fantasy",8.1,86.0,146295,117,PG
644,Rocky,1976,"Drama, Sport",8.1,70.0,508479,120,PG
431,Kramer vs. Kramer,1979,Drama,7.8,77.0,130551,105,PG
435,Porco Rosso,1992,"Animation, Adventure, Comedy",7.7,83.0,74918,94,PG
338,Harry Potter and the Half-Blood Prince,2009,"Action, Adventure, Family",7.6,78.0,461006,153,PG
339,Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",7.9,82.0,536599,142,PG
340,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy",7.6,64.0,631583,152,PG
531,Moana,2016,"Animation, Adventure, Comedy",7.6,81.0,263279,107,PG
342,Howl's Moving Castle,2004,"Animation, Adventure, Family",8.2,80.0,322318,119,PG
457,Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",8.1,84.0,103084,224,PG
637,Remember the Titans,2000,"Biography, Drama, Sport",7.8,48.0,195132,113,PG
432,Kubo and the Two Strings,2016,"Animation, Action, Adventure",7.8,84.0,115645,101,PG
348,Hidden Figures,2016,"Biography, Drama, History",7.8,74.0,194764,127,PG
632,Rear Window,1954,"Mystery, Thriller",8.4,100.0,435002,112,PG
352,Home Alone,1990,"Comedy, Family",7.6,63.0,453649,103,PG
537,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",8.2,91.0,493639,91,PG
356,How to Train Your Dragon,2010,"Animation, Action, Adventure",8.1,75.0,654460,98,PG
625,Raiders of the Lost Ark,1981,"Action, Adventure",8.4,85.0,869125,115,PG
617,Pride & Prejudice,2005,"Drama, Romance",7.8,82.0,250585,129,PG
367,Il Postino,1994,"Biography, Comedy, Drama",7.7,81.0,33004,108,PG
349,High Noon,1952,"Drama, Thriller, Western",7.9,89.0,95865,85,PG
691,Sleuth,1972,"Mystery, Thriller",8.0,,44221,138,PG
244,E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",7.8,91.0,364521,115,PG
829,The Lion in Winter,1968,"Biography, Drama, History",7.9,,28549,134,PG
870,The Right Stuff,1983,"Adventure, Biography, Drama",7.8,91.0,55169,193,PG
868,The Remains of the Day,1993,"Drama, Romance",7.8,84.0,64393,134,PG
864,The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",7.7,75.0,46335,82,PG
863,The Princess Bride,1987,"Adventure, Family, Fantasy",8.1,77.0,387416,98,PG
857,The Outlaw Josey Wales,1976,Western,7.8,69.0,64463,135,PG
137,Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",8.0,66.0,199682,110,PG
143,Cabaret,1972,"Drama, Musical",7.8,80.0,47494,124,PG
853,The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",8.0,82.0,286765,76,PG
848,The Message,1976,"Biography, Drama, History",8.2,,43103,177,PG
152,Casablanca,1942,"Drama, Romance, War",8.5,100.0,512610,102,PG
843,The Man Who Would Be King,1975,"Adventure, History, War",7.8,91.0,43298,129,PG
837,The Lunchbox,2013,"Drama, Family, Romance",7.8,76.0,49275,104,PG
170,Citizen Kane,1941,"Drama, Mystery",8.3,100.0,391427,119,PG
304,Duck You Sucker,1971,"Drama, War, Western",7.6,77.0,29502,138,PG
173,Close Encounters of the Third Kind,1977,"Drama, Sci-Fi",7.6,90.0,181441,138,PG
174,Coco,2017,"Animation, Adventure, Family",8.4,81.0,357301,105,PG
178,Coraline,2009,"Animation, Drama, Family",7.7,80.0,192037,100,PG
827,The Lego Movie,2014,"Animation, Action, Adventure",7.7,83.0,320267,100,PG
818,The King of Comedy,1982,"Comedy, Crime, Drama",7.8,73.0,85181,109,PG
813,The Iron Giant,1999,"Animation, Action, Adventure",8.0,85.0,169076,86,PG
808,The Incredibles,2004,"Animation, Action, Adventure",8.0,90.0,645415,115,PG
803,The Hunt for Red October,1990,"Action, Adventure, Thriller",7.6,58.0,175768,135,PG
198,Days of Heaven,1978,"Drama, Romance",7.8,93.0,51472,94,PG
202,Dead Poets Society,1989,"Comedy, Drama",8.1,79.0,413767,128,PG
792,The Graduate,1967,"Comedy, Drama, Romance",8.0,83.0,250666,106,PG
791,The Goonies,1985,"Adventure, Comedy, Family",7.8,62.0,239334,114,PG
776,The Farewell,2019,"Comedy, Drama",7.6,89.0,46029,100,PG
